headline,label
"Margaret Thatcher’s favourite free-market thinktank has called on the government to legalise cannabis, arguing that the move could generate more than £1bn in extra tax revenues every year, as well as savings in health and other public services.",-1
Tropical forests around the world are vanishing at an alarming rate:39 million acres of tree cover vanished in 2017—an area about the size of Bangladesh.,0
Poland's Jaroslaw Kaczynski renews call for German WWII reparations,0
S. Korea rejects U.S.' renewed demand over cost sharing for strategic assets: official,0
Sinn Féin votes to liberalise abortion law in Northern Ireland,0
Female passenger dies on Qantas flight from Singapore to Sydney,0
India’s quest to find a trillion-dollar nuclear fuel on the south side of the moon,0
DR Congo: Oil drilling allowed in wildlife parks,0
China factory growth slows in June as trade tensions rise,0
Thousands Of Street Loiterers Arrested In The Philippines,-1
Russian TV boasts about electing Trump ahead of summit with Putin.,0
Investors hopeful Mexico's Lopez Obrador will veer to the center,1
"UK Home Office pays out £21m after mistakenly detaining 850 people - Wrongful detentions came as immigration staff chased bonuses, figures show",1
UK nurse is first person convicted under modern slavery laws,-1
"Libya: 100 migrants missing at sea, feared dead",-1
Malaysia expels Chinese tourists for ‘hot dance’ outside mosque,-1
Martial law has been declared in central-west Mongolia to contain the spread of the deadly foot-and-mouth disease affecting cloven-hoofed livestock,0
"Brother of Russian oppositionist Navalny released after 3,5 years in prison",-1
Chinese Embassy in Japan protested to a Japanese newspaper for running a story that it said advocates Taiwanese independence,0
Heinrich Himmler's daughter worked as a secretary for West Germany’s spy agency in the 1960s despite never renouncing Nazism and remaining active in far-right extremism for decades | The BND confirmed to Bild that Gudrun Burwitz-Himmler was employed as a secretary in Munich under a different name.,1
Russia rips Canada’s ‘high-handedness’ in legalizing recreational marijuana,0
U.S. government says it will detain migrant children with parents,-1
Sara Netanyahu's fraud trial to start on July 19,-1
France drops all charges against Russia's senator Suleyman Kerimov,-1
Hillsborough match commander David Duckenfield will go on trial,0
"Tehran Hit By Power Shortages, Amid Protests",-1
"Future of EU hinges on solving migration issue, says Merkel",1
"Migrant issue could be 'make-or-break' for EU, Merkel tells divided Bundestag",0
"Member states reject candidacy of U.S. evangelical to lead UN migration agency, in major snub to Trump administration",-1
"Canada strikes back at U.S. over tariffs, unveils aid package",-1
"Trump uses Foxconn groundbreaking to emphasise his hard-line China stance : We’ve helped rebuild China. Someday they’ll say thank you. But we don’t want to do that anymore,’ says Trump",1
Retired police officer among 10 charged over plot against Muslims,-1
EU leaders claim breakthrough deal on migrants,0
"Two Southeast Asian women on trial for killing the estranged half brother of North Korea’s leader are trained assassins who used “criminal force” to rub the toxic VX nerve agent on Kim Jong Nam’s eyes and face, prosecutors said in their closing arguments Thursday.",-1
"Feds unveil counter-tariffs, offer up to $2 billion to metal and manufacturing industries",0
Russian TV boasts about getting Trump elected ahead of summit with Putin,0
Moroccan website editor given three years in prison,-1
EU migrant processing centres 'will not be Guantanamos',0
Pakistan Placed on Terror-Financing Watch List,0
3 killed in attack on West African counterterror force's Mali HQ,-1
"Qatar 'must stop support for terror', top UN court told",1
"Putin, Trump to have summit in Helsinki on July 16",0
Ben Stokes’ return puts England’s powerhouse batsmen under pressure,-1
"Brazil’s coastal city Fortaleza won international award for cutting traffic deaths and making major investments in bus and cycle lanes despite biting recession. Brazil’s fifth-largest city received the award for making it safer to walk, drive and ride bikes in time of budget constraints.",1
"The Companies Cleaning the Deepest, Darkest Parts of Social Media",-1
The full list of 229 US products targeted by Canada’s retaliatory tariffs,0
Trump says he'll bring up election meddling with Putin,0
"UN report alleges terror groups in Pakistan recruit children from madrasas, use them for suicide attacks",-1
Georgia Signs Hong Kong Free Trade Agreement,1
"Not up to the US to decide on Assange asylum, Ecuador says",0
"Give us 'workable' Brexit proposals, EU tells British PM May",0
Tunisia allocates $190 million to reduce Central Pharmacy deficit,-1
Syrian army takes key town amid new advances in southwest,0
North Korea leader inspects island areas near China that host special economic zone,1
Trump casts doubt on Russian election meddling ahead of Putin summit,-1
"Nearly 1,800 Puerto Rican hurricane survivors to lose FEMA housing assistance",-1
Ankara: Trump Vowed to Help Turkey Purchase F-35 Despite Threats from Congress,1
"Air pollution causes nearly 15,000 cases of type 2 diabetes in UK each year, study suggests - The increased numbers have been linked to rising levels of obesity, but a new study from the US suggests that air pollution may be responsible for at least one in 10 cases in Britain.",1
Fiji has one of world's highest domestic violence data: minister,-1
Polio has been reported in Papua New Guinea,0
Greek PM Ready to Accept More Asylum Seekers from Germany,1
US-India: India preparing for 'drastic reduction' in oil imports from Iran: Sources,0
Mexico: 132 candidates have been killed since campaigning began,-1
Kim Jong Un orders execution of Senior Lieutenant General for giving extra food rations to colleagues and their families.,1
"Canada vows to 'not back down' as Ottawa reveals $2B in aid, new tariff targets",0
The interstellar object 'Oumuamua could actually be a comet | 'Oumuamua is also leaving our solar system a bit faster than expected.,0
Theresa May tells EU leaders: you are putting lives at risk over Brexit,-1
Japanese entrepreneur's rocket explodes seconds after lift-off,0
"Parents who share pictures of their children on social media are putting their human rights at risk, UN warned...""strong guidelines"" needed to preserve rights of children whose parents upload video and images of them.",0
Hamas reportedly expanding its naval commando force,0
Pakistan Added To Watch List On Global Terror Financing,-1
"Clampdown on demonstrations in Shinjuku, not only hate speech: Tokyo’s Shinjuku Ward is introducing major restrictions on all public demonstrations, not just those involving hate speech, by banning the use of three of its four large parks as departure points.",1
Trump choice to lead IOM could see American rejected for first time in decades,-1
Galapagos' Sierra Negra volcano erupts,0
"The U.S. Has Conducted 550 Drone Strikes in Libya Since 2011 — More Than in Somalia, Yemen, or Pakistan",-1
Tobbaco giant Imperial Brands invests in cannabis-based medical research,0
"As Thai search enters 7th day, divers cling to hope of finding lost boys",0
"Spain, Greece and Germany seal migrant swap deal",0
EU leaders agree to extend economic sanctions on Russia,1
"Climate change has turned Peru's glacial lake into a deadly flood timebomb: Lake Palcacocha is swollen with water from melting ice caps in the Cordillera Blanca mountains. Below, 50,000 people live directly in the flood path",0
Deutsche Bank fails Fed stress test while 3 US lenders stumble,-1
Defence Secretary Mattis says U.S. will maintain current number of troops in South Korea,0
China's embattled HNA ‘looks to sell US-based Radisson Hotel Group’ to pay off debt,-1
Eight Killed In Logar Peace Convoy Explosion,-1
"India bows to US pressure, prepares for cut in oil imported from Iran",-1
Saudi-Russian axis rules oil markets as Trump fights Iran,-1
"Israel will not allow any Syrian refugees to enter its territory but will continue to provide them with humanitarian aid, Israeli Defence Minister Avigdor Lieberman said on Friday.",0
"Donald Trump urged Emmanuel Macron to quit EU, sign bilateral deal with US during White House meet in April",0
Sampaoli says Messi isn’t better than Ronaldo,1
"East African states, U.S., EU troops complete joint military training in Uganda",0
"Decades of American leadership at the United Nations migration agency was broken on Friday as voters rejected President Donald Trump's nominee for director general, electing Portuguese politician Antonio Vitorino instead",-1
"Trump appointee guts UN document on racism, says leaders don't have duty to condemn hate speech",-1
German cops shot dead 14 people in 2017 - fired a total of 75 times at people,-1
Members of the European Parliament have voted to advance legislation that could have a disastrous effect on the internet as we know it,-1
Toronto schools want anti-radiation pills in case of nuclear incident at Pickering nuclear power plant,0
Israel Transferred Aid to Syrians Seeking Refuge Near Border in Overnight Mission,0
Trump-Putin summit to be held in Helsinki: Fox News,0
"The government of the Democratic Republic of Congo has decided to open up parts of two protected national parks, home to endangered species such as mountain gorillas, to oil drilling. Virunga - Africa's oldest national park - is home to over half the global population of mountain gorillas.",1
Honduran Officials To Visit Migrant Detention Centers In US,-1
Anti-money laundering body gives Iran until October to complete reforms,0
Canadians with offshore holdings evade up to $3 billion in tax per year,0
Quebec Says Canada Should Rethink Milk Pricing to Appease U.S. - Canada’s largest dairy-producing province said the nation should reconsider its new milk price policy to ease tensions with the U.S.,1
Venezuelan opposition activist Maria Corina Machado said Friday she could be arrested at any time after President Nicolas Maduro accused her of participating in an alleged plot to assassinate him.,-1
"Donald Trump calls out Germany, EU allies on NATO defense spending ahead of summit: Belgium's prime minister ""unimpressed"" after receiving letter from Trump about sticking to NATO pledges...Trump also said Germany needs to up spending.",0
"A fire has swept one of Nairobi’s largest open-air markets, killing 15 people and sending 70 to hospitals, as traders struggled to wake their families and flee | Young children were among the victims, President Kenyatta said in a statement, and many of the injured are in critical condition",-1
"Number of Syrians fleeing Daraa hits 150,000 | Syrians flee regime attacks in Daraa, seek refuge near Israeli and Jordanian borders",-1
Bali airport reopens as volcanic Mount Agung rumbles,0
Authorities in northeastern India have cut internet access after crazed mobs beat three people to death in lynchings sparked by rumors spread on smartphones,-1
International Asteroid Day,0
"Mexico: Over 20,000 Ballots Stolen Spreading Fears of Fraud Ahead of Election",-1
Egypt puts 186 figures on its terror list including famous news anchor,-1
"Israel settlers slash tyres, spray racist graffiti in Nablus-area village",-1
NATO Chief: 'We don't want a new Cold War' with Russia,-1
"Cambodian strongman's son assumes two powerful military roles - Hun Sen, who has ruled for 33 years, is accused of trying to build a political dynasty by priming his three sons for top posts.",1
France’s media regulator has issued Russian TV channel RT with a warning over misrepresenting facts in a programme about Syria,-1
Trump to Meet Russia’s Putin in Finland on July 16 - The Wall Street Journal.,0
"Syrian attack uproots 120,000, U.N. warns of catastrophe: The Russian-backed offensive has driven tens of thousands of people toward the border with Jordan, and thousands more to the frontier with the Israeli-occupied Golan Heights.",-1
Iraq executes 12 ISIL members on death row,-1
"The skeleton of an Irishman, which has been on display in a British museum for more than 200 years, could finally be released for burial.",0
"Quebec's face-covering ban suspended, judge questions whether it violates charter - Canada",-1
"Austria's constitutional court on Friday ruled that people not wanting to be identified as either male or female should have the right to do so when completing official forms, a big step towards the formal recognition of a third gender.",0
"Oleg Navalny, brother of Russian opposition leader, freed after 3.5 years",1
Five dead as plane plunges into Mumbai building site,-1
Plane Crashes in Busy District of Mumbai,0
British ministers and spy chiefs in power after 9/11 are facing new calls to explain their “inexcusable” actions after two damning parliamentary reports set out the scale of UK involvement in the torture and kidnap of terrorist suspects.,-1
"Taiwan extends visa-free entry for Philippines, Thailand, Brunei",0
Rockets launched from Gaza cause early morning scramble for bomb shelters - Jspace News,-1
Overworked Japan caps overtime at 100 hours a month,0
Venezuela leader attacks 'viper' Pence,-1
At least five killed after plane crashes in busy district of Mumbai,-1
Ten hydrogen-powered buses in operation in Chengdu - Xinhua,0
"Report: UN, Washington struggling to raise foreign aid for Gaza",-1
E.U. leaders agree on outline of migration deal,1
Trump confidant was willing to share information with UAE: report,1
Iraq executes 12 after PM calls for speedy executions,0
Australia Seals Deal To Buy MQ-4C Drones As Military Competition In the Pacific Heats Up,0
Pakistan Placed on Financial Action Task Force on Money Laundering's Grey List,0
"Trump reportedly wants to pull the US out of the WTO, a move that would wreck the international trade system - According to Axios, White House officials push back on Trump's suggestions to leave the WTO and typically dismiss the suggestion despite Trump having brought up the idea multiple times.",-1
European leaders claim breakthrough deal on migration after marathon talks,0
Prosecutors say women must have been trained to kill North Korean in Malaysia,-1
Indian money in Swiss banks rise 50% to over ₹7000 crore,0
Trump told G-7 leaders that ‘NATO is as bad as NAFTA’: report,-1
U.S. candidate loses race to lead U.N. migration agency,-1
South Korea’s Yonhap News Agency planning to open bureau in Pyongyang: official,0
"Egypt, Greece, Cyprus Defense Ministers Attend Joint Air, Naval Drill",0
BAE Systems wins £20bn Australian warships contract,1
Crash involving kangaroo leaves man critically injured in Australia,-1
"The forces of Libyan strongman Khalifa Haftar has rejected any foreign military presence in the south of the country to stem migration, after EU leaders struck a deal to deter Mediterranean crossings.",-1
Merkel's Fragile Coalition Teeters On Edge Of Migration Question,0
Trump: I'll bring up election interference with Putin.,0
Israeli forces kill two Palestinians in Gaza border protests: Gaza medics,-1
"North Korea has increased nuclear production at secret sites, say U.S. officials",1
"""Smelly"" airline passenger who caused emergency landing dies of tissue necrosis",-1
Luxembourg Is Latest EU Country to Legalise Medical Cannabis,0
Ottawa mayor will skip 4th of July party amid 'puerile attitude' from White House - Canada,1
"Orangutans have been adapting to humans for thousands of years | ""Long-term interactions with humans shaped orangutans in some pretty profound ways,"" researcher Stephanie Spehar said.",1
India is now the most dangerous country in the world for women : Thompson Reuters poll,-1
3 babies among 100 dead off Libya as Europe hails new migrant deal,-1
Trump's controversial pick for top UN migration job voted down in Geneva,0
Trump could block F-35 transfer if Turkey acquires Russia's S-400 system,-1
Italy to propose ending ban on European development bank lending lending to Russia,-1
"Tonsils removal, breast reductions and snoring surgery will be offered to far fewer patients from next year, under plans being drawn up by NHS England.",0
"Traore Kadzhale, a professional Côte d'Ivoire football player, claims police illegally arrested, beat, and robbed him",-1
"Tobacco Logo Ban Said to Get WTO Backing in Landmark Case (Australia - Tobacco Plain Packaging, DS 467)",-1
"Toronto's Mayor says the city cannot take any more asylum seekers, as numbers rise amid Trump's immigration crackdown",0
Heinrich Himmler's daughter was employed by spy agency in post-war West Germany,0
Deadly blaze sweeps through Nairobi market,0
Italy blocks EU summit agreement until migration demands met,1
"ABC does not crowd out commercial media but sparks innovation and nurtures creative community, broadcaster told government inquiry. ABC rejected suggestion its activities online should be curtailed because it is unfairly competing with News Corp and Fairfax Media for online traffic.",1
New species of highly endangered seabird discovered in New Zealand,0
Nude model's Western Wall photo shoot sparks anger,-1
Sadr dissolves armed brigade in south Iraq,0
Trump was reportedly surprised by the number of US troops stationed in Germany and expressed interest in pulling some of them out,1
Facebook faces new accusation of data leak via quiz app.,-1
Female TV presenter under investigation for wearing “indecent” clothes during report on lifting of Saudi Arabia’s driving ban for women has fled country. Shireen al-Rifaie denies any wrongdoing after wind blew open her abaya during news report.,-1
Trump suggested to Macron that France should leave the EU: report,0
Female co-founder of S. Korea's largest porn site arrested,-1
Indian Railways to become a net zero carbon emitter by 2030: Minister Piyush Goyal,0
UK households urged to conserve water as heatwave continues,0
Australia bans covert foreign interference in politics,0
Google Tests Same-Day Delivery,0
German spy agency acknowledges employing Himmler's daughter,0
"Perennial death of cattle in Kenya's arid and semi-arid areas in the North is set to be a thing of the past as the government moves to establish feedlots | Kenya has in the last few years been experiencing severe drought in the drylands, where 90 percent of beef animals are kept.",-1
North Korea Boosting Nuclear Fuel Production At Secret Sites: Report,1
U.S. VP Pence urges Latin American countries to isolate Venezuela,-1
"The Malian headquarters of an anti-terror task force, the G5 Sahel, came under attack on Friday, killing six people and leaving many injured",-1
"Bahrain Court Gives Life Sentences To Three Dissidents, Jails Nine Others",0
Stranded ship with more than 230 migrants finally docks in Malta,0
UK tolerated 'inexcusable' treatment of terror detainees after 9/11,-1
France is bringing back mandatory national service for all 16-year-olds,0
"Brexit: 'Last call' for deal, Donald Tusk warns UK",0
Turkey says will not cut off trade ties to Iran at behest of others,1
Satellite images raise alarms about North Korean nukes: Satellite images showing North Korea making substantial improvements to one of its nuclear research facilities are raising alarms that the regime has little interest in actually giving up its nuclear arsenal.,1
"Get ready for short-term trade pain, US tells American firms in China",-1
"A month after China and Vietnam announced their temporary suspensions of scrap plastic imports, Thailand also temporarily halts imports of plastic waste and e-waste",-1
US won't tolerate Pakistan becoming haven for terrorists: Nikki Haley - Times of India,-1
"Thai cave rescue: Drones, dogs, drilling and desperation",0
Putin: New Russian weapons decades ahead of foreign rivals,-1
"With Cambodia ‘drowning in a wave’ of waste, plastic could be banned at Angkor Wat",-1
The dirty little secret behind 'clean energy' wood pellets | Environment,0
Launch of private Japanese firm's rocket fails- News - NHK WORLD - English,-1
Bali airport closes as Mount Agung volcano spews ash,0
Qatar to Invest $20 Billion Into US Energy Sector Read Newsmax: Qatar to Invest $20 Billion Into US Energy Sector,1
Car and housing companies ‘should be ashamed of themselves’ as UK on track to miss emissions targets: Much anticipated report from official climate advisers is 'wake-up call' to government after controversial decisions about Heathrow expansion and Swansea Bay tidal lagoon.,-1
"UNESCO added Lake Turkana, conservation hotspot in Kenya and candidate site for birthplace of mankind, to list of endangered World Heritage Sites...endangered primarily by Ethiopia's construction of hydroelectric and irrigation dam on Omo River.",0
Mahathir Mohamad said he expect authorities to arrest former prime minister Datuk Seri Najib Razak soon,-1
India preparing for cut in oil imports from Iran,-1
Trump privately floats plan to make a deal with Putin on Syria.,0
China shuns U.S. request for talks on airline website dispute over Taiwan,-1
Germany become sixth victims of curse in WC,-1
Dozens Killed In Militant Attacks Across Afghanistan,-1
25 civilians killed in regime attack on Syria’s Daraa | Assad regime and its allies continue to pound opposition positions in southern Syria,-1
Canadian Judge Suspends Quebec Controversial Face-Covering Ban,-1
Angela Merkel Warns Migration Could 'Determine Europe's Destiny',0
Uproar after Russian tabloid calls local female soccer fans ‘whores’,0
Hundreds of thousands of Canadian children live in daycare ‘deserts‘: report,0
Unidentified attackers launched a raid on the headquarters of a five-nation African anti-terrorist military taskforce in central Mali,-1
Israel rushes to secure its border and 'prevent entry of refugees',1
"Giulio Regeni murder: 'unexplained gaps' in CCTV tapes | Footage from where Cambridge academic was last seen is missing, say Italian prosecutors",-1
41-year-old Malaysian weds 11-year-old girl in Thailand - Nation | The Star Online,0
China Sentences US Athlete to Four Years for Bar Fight,-1
EU's Juncker says will visit Washington on trade by end-July,0
EU leaders agree on screening centers to ease migrant crisis,0
"Sweden's government wants to extend home delivery options from state-run alcohol monopoly Systembolaget, so everyone in country can use service...monopoly means drinks with over 3.5 percent alcohol content can only be sold by Systembolaget, and only during specific times.",0
UN adopts UAE Human Rights report,0
Merkel warns that migration 'could decide Europe's destiny',0
Nesting birds bring Chinese road building project to a screeching halt,0
Australia wins landmark tobacco dispute,1
US reassures Japan it will continue joint military drills despite North Korea concerns,1
EU's Tusk issues 'last call' for Britain to explain what it wants from Brexit,0
Trump will demand Iran exits all of Syria,0
A manager at Vancouver’s Stanley Park Teahouse restaurant has been fired for refusing service to a customer wearing a “Make America Great Again” (MAGA) hat,-1
Statement agreed by EU leaders on the euro zone,1
"Classic American Motorbike Shifts Production to Poland | Polaris Industries, the renowned manufacturers of the Indian Motorcycle, are considering moving some of their manufacturing for the European market to their factory in Poland.",0
Human Rights Watch warns of government repression in advance of Democratic Republic of the Congo elections on December 23rd,-1
China's move to ease foreign investment curbs leaves trade experts unimpressed,0
"Young will pick up climate change bill, advisers warn",0
"Four militants involved in March bomb attack die in firefight, Egypt says",-1
"200+ Groups Demand Israel Free Khalida Jarrar, Jailed a Year Without Charge Or Trial",0
Nigeria: Fresh safety calls after tanker truck blast kills 9 in Lagos,0
Nigeria fuel truck blaze kills at least nine,-1
"Donald Tusk, the European Council president, has told EU countries to prepare for “worst-case scenarios” as relations with the US under Donald Trump rapidly deteriorate. Officials say US president's emerging doctrine - in which there are 'no friends and no enemies' - is dangerous for Europe.",-1
Nazi Sympathizers Pushing to Take Over Europe’s Spy Agencies,0
Indian state cuts internet after lynchings over online rumours,-1
China sends Donald Trump a message about free trade and the WTO,1
Israel will not accept any Syrian refugees on its territory: defense minister,0
Indian Money In Swiss Banks Rises 50% Reversing Three-Year Decline,0
Ancient artefacts to be sent to Egypt from Israel,0
Malaysia To Withdraw Troops Stationed In Saudi Arabia,0
"12 boys and their coach has been stuck, with no news in a cave in Thailand since Saturday.",-1
Deloitte Leadership Battle Leaves CEO’s Future in Question,-1
"An Egyptian court has delayed a final ruling in a case against 739 people involved in a 2013 protest that was broken up by security forces, saying defendants could not be transferred to court due to “security concerns” | The case involves the Muslim Brotherhood, including leader Mohamed Badie",-1
"Major banks are squeezing money out of customers who sign up for 'free' personal current accounts, the UK city watchdog has warned.",-1
Brexit: EU risks making citizens less safe says May,0
Migrant crisis: EU leaders plan closed migrant centres,-1
"Jamaican expats who retire there after decades in UK face “extreme risk” of murder as official figures revealed at least 85 Britons, Americans and Canadians have been killed since 2012. Senior police figures told Guardian returning residents seen as soft targets by criminals.",-1
Israeli Soccer Fans Harassed at World Cup,-1
Iraq hangs 13 prisoners as premier urges rapid executions,-1
Trump to Meet Putin in Helsinki for Summit Next Month,0
Syrians fleeing fighting call on Israel to save them,0
I hope India does not meddle with our political affairs: Rajapaksa,1
"Push to improve voter turnout in remote Australian Aboriginal communities, despite staffing cuts",1
Japan protests over China drilling vessel in disputed waters,-1
"Ghana's president fires electoral commission head, two deputies",0
"Migration a 'make or break' issue for Europe, says Merkel",0
Women's self-defense classes offered in Taipei following string of murders,-1
World Cup 2018: Mexico fans celebrate South Korean 'brothers',1
Police seize more than EUR 4.5 million in Europe's biggest ever LSD bust,0
Man charged with illegally exporting anti-submarine devices to China,-1
"US President Trump and Russian President Putin will meet on July 16 in Helsinki, Finland, 4 days after NATO summit, White House says",0
Scientists call for a Paris-style agreement to save life on Earth. Call to include corporations in the bill alongside nation states.,1
Trump says Saudi king agrees to ramp up oil production,1
Ford China and Baidu are going to work together on A.I. and connectivity in cars,0
"'Don't retaliate against U.S. with tariffs', Calgary Chamber of Commerce implores Ottawa | CBC News | Canada",0
UK: Current and former members of the Mormon Church are calling for an end to the practice of asking children as young as eight intimate and sexual questions during annual interviews by church officials.,0
"Fully autonomous cars may never be allowed, says BMW boss",0
Rail unions at a crossroads in France as rolling strikes conclude,-1
Trump casts doubt on Russian election meddling ahead of Putin summit.,-1
Multinational companies lobbying to soften ban against single-use plastic imposed by Indian state last week...ban by Maharashtra could sharply raise costs for companies that rely heavily on plastic for packaging.,-1
Two longtime political rivals will cooperate for the first time in decades to promote a single issue--moving Japan away from its dependence on nuclear energy. Junichiro Koizumi and Ichiro Ozawa are both 76 and former members of the Liberal Democratic Party.,1
"UK's Prince William visits Jerusalem holy sites, great-grandmother's tomb",0
Kim Jong Un ordered army officer executed after giving soldiers extra food: report,1
"Orbán: Hungary will not become immigrant country, PM delivered ultimatum at EU summit",0
Venezuela Hyperinflation Index Reaches the One Million Mark,0
Saudi Arabia plans to pump record amount of oil next month in one of its biggest-ever export surges,0
"Retirees returning to Jamaica face 'extreme' murder risk, say police | Returnees warned they are seen as soft targets following multiple killings of UK expats",-1
"19 Eel Smugglers Sentenced, But Lucrative Trade Persists",0
Explosion as rocket crashes after lift-off in Japan,0
"Wealthy Canadians hiding up to $240B abroad, CRA says",0
"Up to 100 migrants, including babies, feared dead after boat sinks off the coast of Libya",-1
Report: Dozens of Syrian refugees headed to Israeli border,0
A sandstorm has battered Senegal leaving livestock dead and damaging the newly-opened airport. It is believed to be the first time that such a storm has churned over Senegal.,-1
"An Indian court has ordered the government to pay compensation to a child trafficking survivor even though her case has yet to be tried, a ruling aid workers said could help hundreds of other victims get the money they need to move on with their lives.",1
Israel Raises Alert in North as Syrian Regime Fights Its Way Toward Border,0
"Brexit will strengthen Ireland-US relations, says Irish ambassador - Daniel Mulhall predicts Ireland will emerge as the main bridge between US and Europe",1
"Panama Papers Coverage: Passports, arms dealers and frozen accounts - ICIJ",0
"Car and housing companies ‘should be ashamed of themselves’ as UK on track to miss emissions targets - The UK will not meet its targets to avert climate change unless urgent action is taken to slash emissions from cars and houses, according to the government’s official advisers.",-1
South Korea to tighten laws amid influx of Yemeni asylum seekers,0
'Italy is not alone anymore': EU leaders reach some agreement on migrant processing,1
"UNESCO removes Belize reef from endangered list: The Belize Barrier Reef, the largest coral reef system in the Northern Hemisphere, has been removed from the United Nations list of endangered world heritage sites.",1
More than 200 people have died in Nicaragua since unrest began two months ago,-1
'Voodoo' nurse guilty of sex trafficking,-1
Afghan president orders troops to resume operations against Taliban,0
Pakistan placed on 'grey list' by FATF - Times of India,0
"Angola Settles Debt | Bank of Namibia deputy governor Ebson Uanguta said the Banco Nacional De Angola has paid the outstanding US51,1 million debt owed Namibia.",0
Belgian boy Laurent Simons heads off to university aged 8,0
Russia steps up legal attack against hunter of Stalin's mass graves,-1
Comedian claims he tricked Trump with prank call onboard Air Force One,1
Iran reopens nuclear plant that had been idle for nine years,0
North Korea 'executes officer who jumped gun on peace on peninsula',1
Another Ukrainian prisoner of Kremlin (Emir-Usein Kuku) announces hunger strike,-1
"A looming global care crisis is set to affect 2.3 billion people by 2030, the International Labor Organization has warned | The UN agency said: ""Sweeping changes in policies should address the rising need for care and tackle the huge disparity between women’s and men’s care responsibilities.”",1
"Singapore to decide on replacement for F-16 fighter jets in next few months, options include Eurofighter Typhoons, Russian-made Sukhois, Chinese-made J-20s, and American F-35s.",0
DRC to drill for oil in wildlife parks,0
Mattis says Japan-US committed to ending North Korea's 'weapons of mass destruction',-1
Pope accepts two more resignations of Chile bishops over sex abuse,-1
Drug makers in Canada disclose doctor payments as transparency debate heats up,0
SpaceX rocket blasts off with new Canadarm2 hand aboard,1
Britain’s biggest butterfly could become extinct within four decades because of rising sea levels. New inland habitat needs to be created for swallowtail because rising seas are predicted to turn much of its current home into saltmarshes later this century.,1
A great white shark has been spotted swimming off the island of Majorca for the first time in more than 40 years,1
Fuel removal from Fukushima reactor (Unit Nr. 2) may be delayed,-1
State Department requests US Marines for Taiwan,0
"A manual recount of votes in Iraq’s May national election will begin next week | The outgoing parliament passed a law mandating a nationwide manual recount of votes, but the panel of judges now in charge said it would only be conducted for problematic ballots.",-1
"OSCE PA human rights Chair condemns anti-Roma attack in Ukraine, raises alarm at increasing intolerance",-1
"Reuters news agency runs 50 fake news items a day about Iran’s economy, Iranian foreign minister says",-1
French firm Lafarge under investigation for complicity in crimes against humanity in Syria,0
Russian opposition leader Navalny's brother freed from jail.,1
European leaders reach migration deal after marathon overnight meeting,0
There has been a surge in UK citizens acquiring the nationality of another EU country since the Brexit referendum,0
Shark sighted off Majorca: First great white,1
Investors hopeful Mexico's Lopez Obrador will veer to the center as President,1
